"Step","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__123__1773218268 - train/success_once","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__123__1773218268 - train/success_once__MIN","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__123__1773218268 - train/success_once__MAX","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__42__1773217549 - train/success_once","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__42__1773217549 - train/success_once__MIN","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__42__1773217549 - train/success_once__MAX","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__1__1773216762 - train/success_once","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__1__1773216762 - train/success_once__MIN","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__1__1773216762 - train/success_once__MAX","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__42__1773196992 - train/success_once","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__42__1773196992 - train/success_once__MIN","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__42__1773196992 - train/success_once__MAX","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__1__1773194506 - train/success_once","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__1__1773194506 - train/success_once__MIN","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__1__1773194506 - train/success_once__MAX","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__123__1773192815 - train/success_once","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__123__1773192815 - train/success_once__MIN","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__123__1773192815 - train/success_once__MAX"
"1113600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1126400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1139200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1152000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1164800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1177600","0","0","0","0","0","0","0","0","0","0","0","0","0.0039840638637542725","0.0039840638637542725","0.0039840638637542725","0","0","0"
"1190400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1203200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1216000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1228800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1241600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1254400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1267200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1280000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1292800","0","0","0","0","0","0","0.003952569328248501","0.003952569328248501","0.003952569328248501","0","0","0","0","0","0","0","0","0"
"1305600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1318400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1331200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1344000","0","0","0","0","0","0","0.004081632476300001","0.004081632476300001","0.004081632476300001","0","0","0","0","0","0","0","0","0"
"1356800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1369600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1382400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1395200","0.004291845485568047","0.004291845485568047","0.004291845485568047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1408000","0","0","0","0","0","0","0","0","0","0","0","0","0.004166666883975267","0.004166666883975267","0.004166666883975267","0","0","0"
"1420800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1433600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1446400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1459200","0","0","0","0.004716981202363968","0.004716981202363968","0.004716981202363968","0","0","0","0","0","0","0","0","0","0","0","0"
"1472000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1484800","0","0","0","0","0","0","0.004444444552063942","0.004444444552063942","0.004444444552063942","0","0","0","0","0","0","0","0","0"
"1497600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1510400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1523200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1536000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1548800","0","0","0","0.005025125574320555","0.005025125574320555","0.005025125574320555","0","0","0","0","0","0","0","0","0","0","0","0"
"1561600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1574400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1587200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1600000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1612800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1625600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004048583097755909","0.004048583097755909","0.004048583097755909"
"1638400","0","0","0","0.005319148767739534","0.005319148767739534","0.005319148767739534","0","0","0","0","0","0","0","0","0","0","0","0"
"1651200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1664000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1676800","0","0","0","0","0","0","0.005102040711790323","0.005102040711790323","0.005102040711790323","0","0","0","0","0","0","0","0","0"
"1689600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1702400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1715200","0","0","0","0.005780346691608429","0.005780346691608429","0.005780346691608429","0","0","0","0","0","0","0","0","0","0","0","0"
"1728000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1740800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1753600","0","0","0","0","0","0","0.005494505632668734","0.005494505632668734","0.005494505632668734","0","0","0","0","0","0","0","0","0"
"1766400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1779200","0","0","0","0.0060606058686971664","0.0060606058686971664","0.0060606058686971664","0","0","0","0","0","0","0","0","0","0","0","0"
"1792000","0.0058139534667134285","0.0058139534667134285","0.0058139534667134285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1804800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1817600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1830400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1843200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1856000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1868800","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1881600","0.006369426846504211","0.006369426846504211","0.006369426846504211","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1894400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1907200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1920000","0","0","0","0.007194244768470526","0.007194244768470526","0.007194244768470526","0","0","0","0","0","0","0","0","0","0","0","0"
"1932800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1945600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1958400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1971200","0","0","0","0","0","0","0","0","0","0","0","0","0.004672897048294544","0.004672897048294544","0.004672897048294544","0","0","0"
"1984000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1996800","0","0","0","0","0","0","0.006756756920367479","0.006756756920367479","0.006756756920367479","0","0","0","0","0","0","0","0","0"
"2009600","0.007575757801532745","0.007575757801532745","0.007575757801532745","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022400","0","0","0","0","0","0","0","0","0","0.006172839552164078","0.006172839552164078","0.006172839552164078","0","0","0","0","0","0"
"2035200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2048000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2060800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2073600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2086400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2099200","0","0","0","0.009615384973585606","0.009615384973585606","0.009615384973585606","0","0","0","0","0","0","0","0","0","0.008810572326183319","0.008810572326183319","0.008810572326183319"
"2112000","0.008196720853447914","0.008196720853447914","0.008196720853447914","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2124800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2137600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2150400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2163200","0","0","0","0","0","0","0","0","0","0.006896551698446274","0.006896551698446274","0.006896551698446274","0","0","0","0","0","0"
"2176000","0","0","0","0.011111111380159855","0.011111111380159855","0.011111111380159855","0","0","0","0","0","0","0","0","0","0","0","0"
"2188800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2201600","0","0","0","0.011363636702299118","0.011363636702299118","0.011363636702299118","0","0","0","0","0","0","0","0","0","0","0","0"
"2214400","0","0","0","0","0","0","0","0","0","0.0071428571827709675","0.0071428571827709675","0.0071428571827709675","0","0","0","0","0","0"
"2227200","0","0","0","0.011904762126505375","0.011904762126505375","0.011904762126505375","0","0","0","0","0","0","0","0","0","0","0","0"
"2240000","0","0","0","0","0","0","0","0","0","0.007299270015209913","0.007299270015209913","0.007299270015209913","0","0","0","0","0","0"
"2252800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2265600","0","0","0","0","0","0","0.016129031777381897","0.016129031777381897","0.016129031777381897","0","0","0","0","0","0","0","0","0"
"2278400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2291200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2304000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2316800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2329600","0","0","0","0.012820512987673283","0.012820512987673283","0.012820512987673283","0","0","0","0","0","0","0","0","0","0","0","0"
"2342400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2355200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2368000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2380800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2393600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2406400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2419200","0.01123595517128706","0.01123595517128706","0.01123595517128706","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2432000","0","0","0","0","0","0","0.00917431153357029","0.00917431153357029","0.00917431153357029","0.00909090880304575","0.00909090880304575","0.00909090880304575","0","0","0","0","0","0"
"2444800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2457600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2470400","0","0","0","0","0","0","0","0","0","0.009433962404727936","0.009433962404727936","0.009433962404727936","0","0","0","0","0","0"
"2483200","0","0","0","0","0","0","0","0","0","0.009523809887468815","0.009523809887468815","0.009523809887468815","0","0","0","0","0","0"
"2496000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2508800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2521600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2534400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2547200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2560000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2572800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2585600","0.014084506779909134","0.014084506779909134","0.014084506779909134","0","0","0","0","0","0","0","0","0","0.0054054055362939835","0.0054054055362939835","0.0054054055362939835","0","0","0"
"2598400","0","0","0","0.01923076994717121","0.01923076994717121","0.01923076994717121","0","0","0","0","0","0","0","0","0","0","0","0"
"2611200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2624000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2636800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2649600","0","0","0","0","0","0","0.012987012974917889","0.012987012974917889","0.012987012974917889","0","0","0","0","0","0","0","0","0"
"2662400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2675200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2688000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2700800","0","0","0","0","0","0","0","0","0","0","0","0","0.00561797758564353","0.00561797758564353","0.00561797758564353","0","0","0"
"2713600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2726400","0.0181818176060915","0.0181818176060915","0.0181818176060915","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2739200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2752000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2764800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2777600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2790400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2803200","0","0","0","0","0","0","0","0","0","0","0","0","0.005847953259944916","0.005847953259944916","0.005847953259944916","0","0","0"
"2816000","0.05128205195069313","0.05128205195069313","0.05128205195069313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2828800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2841600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2854400","0.025641025975346565","0.025641025975346565","0.025641025975346565","0.03030303120613098","0.03030303120613098","0.03030303120613098","0","0","0","0.02083333395421505","0.02083333395421505","0.02083333395421505","0","0","0","0","0","0"
"2867200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2880000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2892800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2905600","0","0","0","0","0","0","0.019607843831181526","0.019607843831181526","0.019607843831181526","0","0","0","0","0","0","0","0","0"
"2918400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2931200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2944000","0","0","0","0","0","0","0.021739130839705467","0.021739130839705467","0.021739130839705467","0","0","0","0","0","0","0","0","0"
"2956800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2969600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2982400","0","0","0","0","0","0","0.023255813866853714","0.023255813866853714","0.023255813866853714","0.02380952425301075","0.02380952425301075","0.02380952425301075","0","0","0","0","0","0"
"2995200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3008000","0","0","0","0","0","0","0","0","0","0.02631578966975212","0.02631578966975212","0.02631578966975212","0","0","0","0","0","0"
"3020800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3033600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3046400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3059200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3072000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3084800","0","0","0","0.04545454680919647","0.04545454680919647","0.04545454680919647","0","0","0","0","0","0","0","0","0","0","0","0"
"3097600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3110400","0","0","0","0","0","0","0","0","0","0","0","0","0.006289307959377766","0.006289307959377766","0.006289307959377766","0","0","0"
"3123200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005847953259944916","0.005847953259944916","0.005847953259944916"
"3136000","0.0555555559694767","0.0555555559694767","0.0555555559694767","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3148800","0","0","0","0","0","0","0","0","0","0.0357142873108387","0.0357142873108387","0.0357142873108387","0","0","0","0","0","0"
"3161600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3174400","0.05882352963089943","0.05882352963089943","0.05882352963089943","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0","0","0","0","0","0"
"3187200","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.03846153989434242","0.03846153989434242","0.03846153989434242","0","0","0","0.006535947788506746","0.006535947788506746","0.006535947788506746","0.012345679104328156","0.012345679104328156","0.012345679104328156"
"3200000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3212800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
