"Step","spaars_supe_antmaze-medium-play-v2_seed3_gate_m8.0_d10.0 - gate/advantage","spaars_supe_antmaze-medium-play-v2_seed3_gate_m8.0_d10.0 - gate/advantage__MIN","spaars_supe_antmaze-medium-play-v2_seed3_gate_m8.0_d10.0 - gate/advantage__MAX","spaars_supe_antmaze-medium-play-v2_seed2_gate_m8.0_d10.0 - gate/advantage","spaars_supe_antmaze-medium-play-v2_seed2_gate_m8.0_d10.0 - gate/advantage__MIN","spaars_supe_antmaze-medium-play-v2_seed2_gate_m8.0_d10.0 - gate/advantage__MAX","spaars_supe_antmaze-medium-play-v2_seed1_gate_m8.0_d10.0 - gate/advantage","spaars_supe_antmaze-medium-play-v2_seed1_gate_m8.0_d10.0 - gate/advantage__MIN","spaars_supe_antmaze-medium-play-v2_seed1_gate_m8.0_d10.0 - gate/advantage__MAX"
"5001","0","0","0","0","0","0","0","0","0"
"6001","0","0","0","0","0","0","0","0","0"
"7001","0","0","0","0","0","0","0","0","0"
"8001","0","0","0","0","0","0","0","0","0"
"9001","0","0","0","0","0","0","0","0","0"
"10001","0","0","0","0","0","0","0","0","0"
"11001","0","0","0","0","0","0","0","0","0"
"12001","0","0","0","0","0","0","0","0","0"
"13001","0","0","0","0","0","0","0","0","0"
"14001","0","0","0","0","0","0","0","0","0"
"15001","0","0","0","0","0","0","0","0","0"
"16001","0","0","0","0","0","0","0","0","0"
"17001","0","0","0","0","0","0","0","0","0"
"18001","0","0","0","0","0","0","0","0","0"
"19001","0","0","0","0","0","0","0","0","0"
"20001","0","0","0","0","0","0","0","0","0"
"21001","0","0","0","0","0","0","0","0","0"
"22001","0","0","0","0","0","0","0","0","0"
"23001","0","0","0","0","0","0","0","0","0"
"24001","0","0","0","0","0","0","0","0","0"
"25001","0","0","0","0","0","0","0","0","0"
"26001","0","0","0","0","0","0","0","0","0"
"27001","0","0","0","0","0","0","0","0","0"
"28001","0","0","0","0","0","0","0","0","0"
"29001","0","0","0","0","0","0","0","0","0"
"30001","0","0","0","0","0","0","0","0","0"
"31001","0","0","0","0","0","0","0","0","0"
"32001","0","0","0","0","0","0","0","0","0"
"33001","0","0","0","0","0","0","0","0","0"
"34001","0","0","0","0","0","0","0","0","0"
"35001","0","0","0","0","0","0","0","0","0"
"36001","0","0","0","0","0","0","0","0","0"
"37001","0","0","0","0","0","0","0","0","0"
"38001","0","0","0","0","0","0","0","0","0"
"39001","0","0","0","0","0","0","0","0","0"
"40001","0","0","0","0","0","0","0","0","0"
"41001","0","0","0","0","0","0","0","0","0"
"42001","","","","0","0","0","0","0","0"
"43001","","","","0","0","0","0","0","0"
"44001","","","","0","0","0","0","0","0"
"45001","","","","0","0","0","0","0","0"
"46001","","","","0","0","0","0","0","0"
"47001","","","","0","0","0","0","0","0"
"48001","","","","0","0","0","0","0","0"
"49001","","","","0","0","0","0","0","0"
"50001","","","","0","0","0","0","0","0"
"51001","","","","0","0","0","0","0","0"
"52001","","","","0","0","0","0","0","0"
"53001","","","","0","0","0","0","0","0"
"54001","","","","0","0","0","0","0","0"
"55001","","","","0","0","0","0","0","0"
"56001","","","","3.849193572998047","3.849193572998047","3.849193572998047","0.059417724609375","0.059417724609375","0.059417724609375"
"57001","","","","4.591156005859375","4.591156005859375","4.591156005859375","-0.009929656982421875","-0.009929656982421875","-0.009929656982421875"
"58001","","","","1.3253021240234375","1.3253021240234375","1.3253021240234375","1.678436279296875","1.678436279296875","1.678436279296875"
"59001","","","","3.7133712768554688","3.7133712768554688","3.7133712768554688","3.3608245849609375","3.3608245849609375","3.3608245849609375"
"60001","","","","5.146064758300781","5.146064758300781","5.146064758300781","-0.43224334716796875","-0.43224334716796875","-0.43224334716796875"
"61001","","","","2.0507354736328125","2.0507354736328125","2.0507354736328125","-0.45379638671875","-0.45379638671875","-0.45379638671875"
"62001","","","","-0.5428009033203125","-0.5428009033203125","-0.5428009033203125","4.179588317871094","4.179588317871094","4.179588317871094"
"63001","","","","2.7226104736328125","2.7226104736328125","2.7226104736328125","4.7850799560546875","4.7850799560546875","4.7850799560546875"
"64001","","","","1.16448974609375","1.16448974609375","1.16448974609375","2.3099365234375","2.3099365234375","2.3099365234375"
"65001","","","","0.9059677124023438","0.9059677124023438","0.9059677124023438","3.016265869140625","3.016265869140625","3.016265869140625"
"66001","","","","1.36688232421875","1.36688232421875","1.36688232421875","3.73602294921875","3.73602294921875","3.73602294921875"
"67001","","","","2.8760910034179688","2.8760910034179688","2.8760910034179688","-0.456298828125","-0.456298828125","-0.456298828125"
