"Step","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__123__1773218268 - eval/success_once","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__123__1773218268 - eval/success_once__MIN","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__123__1773218268 - eval/success_once__MAX","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__42__1773217549 - eval/success_once","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__42__1773217549 - eval/success_once__MIN","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__42__1773217549 - eval/success_once__MAX","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__1__1773216762 - eval/success_once","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__1__1773216762 - eval/success_once__MIN","PickCube-v1__reach-adaptive_tanh_episode__gate-hard__term-hard_jump__ppo_fast__1__1773216762 - eval/success_once__MAX","PickCube-v1__reach-adaptive_concave_threshold__gate-hard__term-hard_jump__ppo_fast__1__1773212998 - eval/success_once","PickCube-v1__reach-adaptive_concave_threshold__gate-hard__term-hard_jump__ppo_fast__1__1773212998 - eval/success_once__MIN","PickCube-v1__reach-adaptive_concave_threshold__gate-hard__term-hard_jump__ppo_fast__1__1773212998 - eval/success_once__MAX","PickCube-v1__reach-adaptive_concave_threshold__gate-hard__term-hard_jump__ppo_fast__123__1773212248 - eval/success_once","PickCube-v1__reach-adaptive_concave_threshold__gate-hard__term-hard_jump__ppo_fast__123__1773212248 - eval/success_once__MIN","PickCube-v1__reach-adaptive_concave_threshold__gate-hard__term-hard_jump__ppo_fast__123__1773212248 - eval/success_once__MAX","PickCube-v1__reach-adaptive_concave_threshold__gate-hard__term-hard_jump__ppo_fast__42__1773210212 - eval/success_once","PickCube-v1__reach-adaptive_concave_threshold__gate-hard__term-hard_jump__ppo_fast__42__1773210212 - eval/success_once__MIN","PickCube-v1__reach-adaptive_concave_threshold__gate-hard__term-hard_jump__ppo_fast__42__1773210212 - eval/success_once__MAX","PickCube-v1__reach-adaptive_concave_linear__gate-hard__term-hard_jump__ppo_fast__42__1773208834 - eval/success_once","PickCube-v1__reach-adaptive_concave_linear__gate-hard__term-hard_jump__ppo_fast__42__1773208834 - eval/success_once__MIN","PickCube-v1__reach-adaptive_concave_linear__gate-hard__term-hard_jump__ppo_fast__42__1773208834 - eval/success_once__MAX","PickCube-v1__reach-concave_truncated_10__gate-hard__term-hard_jump__ppo_fast__42__1773207980 - eval/success_once","PickCube-v1__reach-concave_truncated_10__gate-hard__term-hard_jump__ppo_fast__42__1773207980 - eval/success_once__MIN","PickCube-v1__reach-concave_truncated_10__gate-hard__term-hard_jump__ppo_fast__42__1773207980 - eval/success_once__MAX","PickCube-v1__reach-concave_truncated_10__gate-hard__term-hard_jump__ppo_fast__123__1773207253 - eval/success_once","PickCube-v1__reach-concave_truncated_10__gate-hard__term-hard_jump__ppo_fast__123__1773207253 - eval/success_once__MIN","PickCube-v1__reach-concave_truncated_10__gate-hard__term-hard_jump__ppo_fast__123__1773207253 - eval/success_once__MAX","PickCube-v1__reach-concave_truncated_10__gate-hard__term-hard_jump__ppo_fast__1__1773206385 - eval/success_once","PickCube-v1__reach-concave_truncated_10__gate-hard__term-hard_jump__ppo_fast__1__1773206385 - eval/success_once__MIN","PickCube-v1__reach-concave_truncated_10__gate-hard__term-hard_jump__ppo_fast__1__1773206385 - eval/success_once__MAX","PickCube-v1__reach-impulse_concave__gate-hard__term-hard_jump__ppo_fast__1__1773205999 - eval/success_once","PickCube-v1__reach-impulse_concave__gate-hard__term-hard_jump__ppo_fast__1__1773205999 - eval/success_once__MIN","PickCube-v1__reach-impulse_concave__gate-hard__term-hard_jump__ppo_fast__1__1773205999 - eval/success_once__MAX","PickCube-v1__reach-concave_truncated_negative_noslope__gate-hard__term-hard_jump__ppo_fast__1__1773200513 - eval/success_once","PickCube-v1__reach-concave_truncated_negative_noslope__gate-hard__term-hard_jump__ppo_fast__1__1773200513 - eval/success_once__MIN","PickCube-v1__reach-concave_truncated_negative_noslope__gate-hard__term-hard_jump__ppo_fast__1__1773200513 - eval/success_once__MAX","PickCube-v1__reach-tanh_sq__gate-hard__term-hard_jump__ppo_fast__1__1773199355 - eval/success_once","PickCube-v1__reach-tanh_sq__gate-hard__term-hard_jump__ppo_fast__1__1773199355 - eval/success_once__MIN","PickCube-v1__reach-tanh_sq__gate-hard__term-hard_jump__ppo_fast__1__1773199355 - eval/success_once__MAX","PickCube-v1__reach-tanh_sq__gate-hard__term-hard_jump__ppo_fast__123__1773198500 - eval/success_once","PickCube-v1__reach-tanh_sq__gate-hard__term-hard_jump__ppo_fast__123__1773198500 - eval/success_once__MIN","PickCube-v1__reach-tanh_sq__gate-hard__term-hard_jump__ppo_fast__123__1773198500 - eval/success_once__MAX","PickCube-v1__reach-tanh_sq__gate-hard__term-hard_jump__ppo_fast__42__1773197801 - eval/success_once","PickCube-v1__reach-tanh_sq__gate-hard__term-hard_jump__ppo_fast__42__1773197801 - eval/success_once__MIN","PickCube-v1__reach-tanh_sq__gate-hard__term-hard_jump__ppo_fast__42__1773197801 - eval/success_once__MAX","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__42__1773196992 - eval/success_once","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__42__1773196992 - eval/success_once__MIN","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__42__1773196992 - eval/success_once__MAX","PickCube-v1__reach-concave_truncated__gate-hard__term-hard_jump__ppo_fast__42__1773196269 - eval/success_once","PickCube-v1__reach-concave_truncated__gate-hard__term-hard_jump__ppo_fast__42__1773196269 - eval/success_once__MIN","PickCube-v1__reach-concave_truncated__gate-hard__term-hard_jump__ppo_fast__42__1773196269 - eval/success_once__MAX","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__1__1773194506 - eval/success_once","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__1__1773194506 - eval/success_once__MIN","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__1__1773194506 - eval/success_once__MAX","PickCube-v1__reach-concave_truncated__gate-hard__term-hard_jump__ppo_fast__1__1773193513 - eval/success_once","PickCube-v1__reach-concave_truncated__gate-hard__term-hard_jump__ppo_fast__1__1773193513 - eval/success_once__MIN","PickCube-v1__reach-concave_truncated__gate-hard__term-hard_jump__ppo_fast__1__1773193513 - eval/success_once__MAX","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__123__1773192815 - eval/success_once","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__123__1773192815 - eval/success_once__MIN","PickCube-v1__reach-tanh__gate-hard__term-hard_jump__ppo_fast__123__1773192815 - eval/success_once__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"320000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"640000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0625","0.0625","0.0625","0","0","0","0","0","0","0.0625","0.0625","0.0625","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"960000","0.125","0.125","0.125","0.125","0.125","0.125","0","0","0","0","0","0","0","0","0","0.0625","0.0625","0.0625","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1280000","0.4375","0.4375","0.4375","0.6875","0.6875","0.6875","0.4375","0.4375","0.4375","0.125","0.125","0.125","0","0","0","0.75","0.75","0.75","0","0","0","0.1875","0.1875","0.1875","0.125","0.125","0.125","0","0","0","0","0","0","0.25","0.25","0.25","0.1875","0.1875","0.1875","0","0","0","0.5","0.5","0.5","0.375","0.375","0.375","0.375","0.375","0.375","0","0","0","0.6875","0.6875","0.6875","0","0","0"
"1600000","1","1","1","1","1","1","0.6875","0.6875","0.6875","0","0","0","0.5625","0.5625","0.5625","0.8125","0.8125","0.8125","0","0","0","0.375","0.375","0.375","0.5625","0.5625","0.5625","0.3125","0.3125","0.3125","0","0","0","0.125","0.125","0.125","0.125","0.125","0.125","0.3125","0.3125","0.3125","0.1875","0.1875","0.1875","0.5625","0.5625","0.5625","0.375","0.375","0.375","0","0","0","0.6875","0.6875","0.6875","0","0","0"
"1920000","1","1","1","1","1","1","0.9375","0.9375","0.9375","0","0","0","0.375","0.375","0.375","0.875","0.875","0.875","0.75","0.75","0.75","0.625","0.625","0.625","0.5","0.5","0.5","0.125","0.125","0.125","0","0","0","0.0625","0.0625","0.0625","0","0","0","0.5625","0.5625","0.5625","0.1875","0.1875","0.1875","0.3125","0.3125","0.3125","0.0625","0.0625","0.0625","0","0","0","0.875","0.875","0.875","0","0","0"
"2240000","0.8125","0.8125","0.8125","1","1","1","0.625","0.625","0.625","0","0","0","0.875","0.875","0.875","0.5625","0.5625","0.5625","0.375","0.375","0.375","0.5625","0.5625","0.5625","0.25","0.25","0.25","0.25","0.25","0.25","0","0","0","0","0","0","0.1875","0.1875","0.1875","0.625","0.625","0.625","0.9375","0.9375","0.9375","0.875","0.875","0.875","0","0","0","0","0","0","0.875","0.875","0.875","0","0","0"
"2560000","1","1","1","1","1","1","0.5","0.5","0.5","0","0","0","0.4375","0.4375","0.4375","0.875","0.875","0.875","0.25","0.25","0.25","0.375","0.375","0.375","0.125","0.125","0.125","0.25","0.25","0.25","0","0","0","0","0","0","0.375","0.375","0.375","0.625","0.625","0.625","0.5","0.5","0.5","0.9375","0.9375","0.9375","0","0","0","0","0","0","0.75","0.75","0.75","0","0","0"
"2880000","1","1","1","1","1","1","0.9375","0.9375","0.9375","0","0","0","0.6875","0.6875","0.6875","0.9375","0.9375","0.9375","0.125","0.125","0.125","0.3125","0.3125","0.3125","0.5","0.5","0.5","0.4375","0.4375","0.4375","0","0","0","0","0","0","0","0","0","0.25","0.25","0.25","0.5625","0.5625","0.5625","0.875","0.875","0.875","0.25","0.25","0.25","0","0","0","0.4375","0.4375","0.4375","0.125","0.125","0.125"
"3200000","1","1","1","1","1","1","0.75","0.75","0.75","0","0","0","0.75","0.75","0.75","0.9375","0.9375","0.9375","0.5625","0.5625","0.5625","0.5","0.5","0.5","0.8125","0.8125","0.8125","0.75","0.75","0.75","0","0","0","0","0","0","0.375","0.375","0.375","0.625","0.625","0.625","0.25","0.25","0.25","0.9375","0.9375","0.9375","0.125","0.125","0.125","0","0","0","0.5625","0.5625","0.5625","0","0","0"
"3520000","0.875","0.875","0.875","1","1","1","1","1","1","0","0","0","1","1","1","0.9375","0.9375","0.9375","0.3125","0.3125","0.3125","0","0","0","0.875","0.875","0.875","0.5","0.5","0.5","0","0","0","0.0625","0.0625","0.0625","0","0","0","0","0","0","1","1","1","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0","0","0","0.9375","0.9375","0.9375","0","0","0"
"3840000","0.9375","0.9375","0.9375","1","1","1","0.9375","0.9375","0.9375","0","0","0","0.75","0.75","0.75","0.5625","0.5625","0.5625","0","0","0","0.1875","0.1875","0.1875","0.8125","0.8125","0.8125","0.4375","0.4375","0.4375","0","0","0","0.0625","0.0625","0.0625","0","0","0","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625","0.75","0.75","0.75","0.4375","0.4375","0.4375","0","0","0","0.9375","0.9375","0.9375","0","0","0"
"4160000","1","1","1","1","1","1","1","1","1","0","0","0","0.625","0.625","0.625","0.9375","0.9375","0.9375","0","0","0","0","0","0","1","1","1","0.25","0.25","0.25","0","0","0","0.0625","0.0625","0.0625","0","0","0","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875","0.5","0.5","0.5","0.9375","0.9375","0.9375","0.25","0.25","0.25"
"4480000","1","1","1","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0","0","0","0.375","0.375","0.375","0.9375","0.9375","0.9375","0","0","0","0","0","0","0.9375","0.9375","0.9375","0.5","0.5","0.5","","","","0","0","0","0","0","0","0.1875","0.1875","0.1875","0.875","0.875","0.875","0.9375","0.9375","0.9375","0.625","0.625","0.625","0.75","0.75","0.75","0.9375","0.9375","0.9375","0.4375","0.4375","0.4375"
"4800000","0.9375","0.9375","0.9375","1","1","1","1","1","1","0","0","0","0.75","0.75","0.75","1","1","1","0","0","0","0","0","0","0.875","0.875","0.875","0.875","0.875","0.875","","","","0.125","0.125","0.125","0","0","0","0.9375","0.9375","0.9375","1","1","1","1","1","1","0.3125","0.3125","0.3125","0","0","0","0.625","0.625","0.625","0.875","0.875","0.875"
